 ,MI,MO,NE,OK,SD,TX1,TX2,TX3
MI,0.20667587041281263,0.19688326519419605,-0.08725584523797295,0.14345256367367087,0.40809711866976794,-0.25404297685651567,0.10105055288295481,0.09546540857305527
MO,0.19688326519419605,0.10160143405239551,-0.1310874287282893,0.19287935872068848,0.19248921479899633,-0.20487766855089098,-0.07768701646232022,-0.05292135818340442
NE,-0.08725584523797295,-0.1310874287282893,0.08570370882095284,-0.2983506984835958,0.16191588995228703,0.014463885277175265,-0.1502110349328421,-6.225268466812532e-5
OK,0.14345256367367087,0.19287935872068848,-0.2983506984835958,0.11804708236973899,-0.05259625001235491,-0.15997039953594402,0.2657573459489495,0.06981989781846848
SD,0.40809711866976794,0.19248921479899633,0.16191588995228703,-0.05259625001235491,0.19960123881620462,0.024379707732849615,0.07693574705424872,0.12833374468217884
TX1,-0.25404297685651567,-0.20487766855089098,0.014463885277175265,-0.15997039953594402,0.024379707732849615,0.07925858697934175,0.05959233672443437,0.038109465969607195
TX2,0.10105055288295481,-0.07768701646232022,-0.1502110349328421,0.2657573459489495,0.07693574705424872,0.05959233672443437,0.17358984591626603,0.13413959308903714
TX3,0.09546540857305527,-0.05292135818340442,-6.225268466812532e-5,0.06981989781846848,0.12833374468217884,0.038109465969607195,0.13413959308903714,0.06788266903945424
